"MatchIndex","SuperstarName"
7832,"Tiffany Stratton"
7831,"Angel"
7831,"Berto"
7831,"Axiom"
7831,"Nathan Frazer"
7830,"Dion Lennox"
7830,"Osiris Griffin"
7830,"Hank Walker"
7830,"Tank Ledger"
7829,"Ethan Page"
7829,"Tavion Heights"
7828,"Je'Von Evans"
7828,"Josh Briggs"
7827,"Fallon Henley"
7827,"Jazmyn Nyx"
7827,"Izzi Dame"
7827,"Tatum Paxley"
7827,"Sol Ruca"
7827,"Zaria"
7826,"Penta"
7826,"Rusev"
7825,"Bronson Reed"
7825,"LA Knight"
7824,"Asuka"
7824,"Nikki Bella"
7823,"Lyra Valkyria"
7823,"Raquel Rodriguez"
7822,"AJ Styles"
7822,"El Grande Americano"
7821,"Edris Enofe"
7821,"Tate Wilder"
7820,"John Cena"
7820,"Sami Zayn"
7819,"Nikkita Lyons"
7819,"Wendy Choo"
7818,"Aaron Rourke"
7818,"Marcus Mathers"
7818,"Tyriek Igwe"
7818,"Tyson Dupont"
7817,"Dante Chen"
7817,"It's GAL"
7816,"Brooks Jensen"
7816,"Keanu Carver"
7815,"Carlee Bright"
7815,"Kali Armstrong"
7814,"Chantel Monroe"
7814,"Kendal Grey"
7813,"Cappuccino Jones"
7813,"Jack Cartwheel"
7813,"Harley Riggins"
7813,"Jax Presley"
7812,"Brad Baylor"
7812,"Ricky Smokes"
7812,"Kale Dixon"
7812,"Uriah Connors"
7811,"Angel"
7811,"Rey Fenix"
7810,"Giulia"
7810,"Michin"
7809,"Aleister Black"
7809,"Damian Priest"
7808,"Jaida Parker"
7808,"Lash Legend"
7807,"Jordynne Grace"
7807,"Kali Armstrong"
7806,"Andre Chase"
7806,"Josh Briggs"
7805,"Cutler James"
7805,"Dion Lennox"
7805,"Osiris Griffin"
7805,"Saquon Shugars"
7805,"Hank Walker"
7805,"Oba Femi"
7805,"Ricky Saints"
7805,"Tank Ledger"
7804,"Bron Breakker"
7804,"Bronson Reed"
7804,"Jey Uso"
7804,"LA Knight"
7803,"AJ Styles"
7803,"Dominik Mysterio"
7802,"Akira Tozawa"
7802,"Maxxine Dupri"
7802,"Otis"
7802,"Brutus Creed"
7802,"Ivy Nile"
7802,"Julius Creed"
7801,"Dragon Lee"
7801,"Finn Balor"
7800,"Erik"
7800,"Ivar"
7800,"Penta"
7800,"Grayson Waller"
7800,"Kofi Kingston"
7800,"Xavier Woods"
7799,"Asuka"
7799,"Kairi Sane"
7799,"Raquel Rodriguez"
7799,"Roxanne Perez"
7798,"Becky Lynch"
7798,"Nikki Bella"
7797,"John Cena"
7797,"Logan Paul"
7796,"Rusev"
7796,"Sheamus"
7795,"CM Punk"
7795,"Jey Uso"
7795,"LA Knight"
7795,"Seth Rollins"
7794,"Angelo Dawkins"
7794,"Montez Ford"
7794,"Dexter Lumis"
7794,"Joe Gacy"
7793,"Bronson Reed"
7793,"Roman Reigns"
7792,"Angelo Dawkins"
7792,"Montez Ford"
7792,"Carmelo Hayes"
7792,"The Miz"
7791,"Alexa Bliss"
7791,"Chelsea Green"
7790,"Alex Shelley"
7790,"Chris Sabin"
7790,"Axiom"
7790,"Nathan Frazer"
7789,"Sami Zayn"
7789,"Solo Sikoa"
7788,"Josh Briggs"
7788,"Ricky Saints"
7787,"Fallon Henley"
7787,"Jacy Jayne"
7787,"Jazmyn Nyx"
7787,"Lola Vice"
7787,"Sol Ruca"
7787,"Zaria"
7786,"AJ Styles"
7786,"Finn Balor"
7785,"Bron Breakker"
7785,"LA Knight"
7784,"Kairi Sane"
7784,"Lyra Valkyria"
7783,"Kofi Kingston"
7783,"Penta"
7782,"Rhea Ripley"
7782,"Roxanne Perez"
7781,"Dragon Lee"
7781,"JD McDonagh"
7780,"Blake Monroe"
7780,"Jordynne Grace"
7779,"Ash By Elegance"
7779,"Jacy Jayne"
7779,"Masha Slamovich"
7778,"Je'Von Evans"
7778,"Oba Femi"
7777,"Jaida Parker"
7777,"Kelani Jordan"
7777,"Lola Vice"
7776,"Chelsea Green"
7776,"Ethan Page"
7776,"Tavion Heights"
7776,"Tyra Mae Steele"
7775,"Dion Lennox"
7775,"Osiris Griffin"
7775,"Hank Walker"
7775,"Tank Ledger"
7774,"Alex Shelley"
7774,"Chris Sabin"
7774,"Carmelo Hayes"
7774,"The Miz"
7773,"Charlotte Flair"
7773,"Piper Niven"
7772,"Angelo Dawkins"
7772,"Montez Ford"
7772,"JC Mateo"
7772,"Tonga Loa"
7771,"Becky Lynch"
7771,"Nia Jax"
7771,"Jade Cargill"
7771,"Tiffany Stratton"
7770,"Kit Wilson"
7770,"Sheamus"
7769,"Jasper Troy"
7769,"Ricky Saints"
7768,"Je'Von Evans"
7768,"Trick Williams"
7767,"Josh Briggs"
7767,"Yoshiki Inamura"
7766,"Ash By Elegance"
7766,"Heather By Elegance"
7766,"M By Elegance"
7766,"Fallon Henley"
7766,"Jacy Jayne"
7766,"Jazmyn Nyx"
7765,"IYO SKY"
7765,"Raquel Rodriguez"
7764,"Penta"
7764,"Xavier Woods"
7763,"Dragon Lee"
7763,"Mr. Iguana"
7763,"Finn Balor"
7763,"JD McDonagh"
7762,"Becky Lynch"
7762,"Natalya"
7761,"Cruz Del Toro"
