"MatchIndex","Team"
7534,"Bron Breakker & Bronson Reed"
7534,"Jey Uso & Sami Zayn"
7530,"Erik & Ivar"
7530,"Finn Balor & JD McDonagh"
7529,"Brad Baylor, Bryce Donovan & Ricky Smokes"
7526,"Brad Baylor, Jackson Drake & Ricky Smokes"
7526,"Cruz Del Toro, Joaquin Wilde & Lince Dorado"
7523,"Angel    & Berto"
7523,"Je'Von Evans & Rey Fenix"
7519,"Kali Armstrong & Natalya"
7519,"Nikkita Lyons & Zayda Steel"
7514,"Brutus Creed & Julius Creed"
7514,"Erik & Ivar, Kofi Kingston & Xavier Woods"
7511,"Austin Theory & Grayson Waller"
7511,"Pete Dunne & Tyler Bate"
7506,"Brooks Jensen, Niko Vance & Shawn Spears"
7506,"Hank Walker, Josh Briggs & Tank Ledger"
7500,"Bron Breakker & Seth Rollins"
7500,"CM Punk & Sami Zayn"
7497,"Angelo Dawkins & Montez Ford"
7497,"Axiom & Nathan Frazer"
7492,"Jacob Fatu & JC Mateo"
7492,"Jimmy Uso & Rey Fenix"
7482,"Cruz Del Toro & Joaquin Wilde"
7482,"Erik & Ivar"
7481,"AJ Styles & Penta"
7481,"Finn Balor & JD McDonagh"
7480,"Axiom & Nathan Frazer"
7480,"Johnny Gargano & Tommaso Ciampa"
7472,"Fallon Henley & Jacy Jayne"
7472,"Jordynne Grace & Stephanie Vaquer"
7469,"Brutus Creed & Julius Creed"
7469,"Erik & Ivar"
7467,"Giulia & Roxanne Perez"
7467,"IYO SKY & Rhea Ripley"
7466,"Austin Theory & Grayson Waller"
7466,"Cruz Del Toro & Joaquin Wilde"
7460,"Angelo Dawkins & Montez Ford"
7460,"Axiom & Nathan Frazer"
7459,"Andrade & Rey Fenix"
7459,"Angel    & Berto"
7457,"Damian Priest & LA Knight"
7457,"Jacob Fatu & Solo Sikoa"
7455,"Alexa Bliss & Zelina Vega"
7455,"Chelsea Green & Piper Niven"
7454,"Cutler James, Dion Lennox & Osiris Griffin"
7454,"Hank Walker, Joe Hendry & Tank Ledger"
7435,"Jade Cargill & Tiffany Stratton"
7435,"Naomi & Nia Jax"
7433,"Axiom & Nathan Frazer"
7433,"Elton Prince & Kit Wilson"
7432,"Hank Walker & Tank Ledger"
7432,"Josh Briggs & Yoshiki Inamura"
7431,"Giulia & Roxanne Perez"
7431,"IYO SKY & Jordynne Grace"
7428,"Erik & Ivar"
7428,"Finn Balor & JD McDonagh"
7425,"Akira Tozawa & Otis"
7425,"Brutus Creed & Julius Creed"
7424,"Dani Sekelsky & Sirena Linton"
7424,"Tatyanna Dumas & Zena Sterling"
7423,"Bayley Humphrey & Tyra Mae Steele"
7423,"Leigh Laurel & Penina Tuilaepa"
7422,"Anthony Luke & Jasper Troy"
7422,"BJ Ray & Drake Morreaux"
7421,"Chris Island & Penina Tuilaepa"
7421,"Shiloh Hill & Zena Sterling"
7418,"Angel    & Berto"
7418,"Axiom & Nathan Frazer"
7417,"Alex Shelley & Chris Sabin"
7417,"Angelo Dawkins & Montez Ford, Johnny Gargano & Tommaso Ciampa"
7413,"Layla Diggs & Masyn Holiday"
7413,"Nikkita Lyons & Zayda Steel"
7412,"Cappuccino Jones & Jack Cartwheel"
7412,"Tyriek Igwe & Tyson Dupont"
7407,"Gigi Dolin & Tatum Paxley"
7407,"Liv Morgan & Raquel Rodriguez"
7405,"Dion Lennox & Osiris Griffin"
7405,"Je'Von Evans & Myles Borne"
7404,"Brutus Creed & Julius Creed"
7404,"Pete Dunne & Tyler Bate"
7403,"Becky Lynch & Lyra Valkyria"
7403,"Liv Morgan & Raquel Rodriguez"
7396,"Becky Lynch & Lyra Valkyria"
7396,"Liv Morgan & Raquel Rodriguez"
7389,"Erik & Ivar"
7389,"Kofi Kingston & Xavier Woods"
7384,"Axiom & Nathan Frazer"
7384,"Hank Walker & Tank Ledger"
7382,"Cora Jade & Roxanne Perez"
7382,"Fallon Henley & Jacy Jayne, Gigi Dolin & Tatum Paxley, Jakara Jackson & Lash Legend"
7381,"Channing Lorenzo, Luca Crusifino & Tony D'Angelo"
7381,"Dion Lennox, Osiris Griffin & Saquon Shugars"
7379,"Alex Shelley & Chris Sabin"
7379,"Angelo Dawkins & Montez Ford"
7378,"Braun Strowman & LA Knight"
7378,"Jacob Fatu & Solo Sikoa"
7377,"Brutus Creed, Chad Gable & Julius Creed"
7377,"Dragon Lee  , Rey Fenix   & Rey Mysterio"
7374,"Brooks Jensen & Niko Vance"
7374,"Hank Walker & Tank Ledger, Josh Briggs & Yoshiki Inamura, Myles Borne & Tavion Heights,Tyriek Igwe & Tyson Dupont"
7366,"LA Knight & Randy Orton"
7366,"Solo Sikoa & Tama Tonga"
7365,"Alba Fyre & Piper Niven"
7365,"B-Fab & Michin, Bayley & Lyra Valkyria, Katana Chance & Kayden Carter,Maxxine Dupri & Natalya, Shayna Baszler & Zoey Stark"
7362,"Cutler James, Dion Lennox & Saquon Shugars"
7362,"Je'Von Evans, Oba Femi & Trick Williams"
7360,"Axiom & Nathan Frazer"
7360,"Brad Baylor & Ricky Smokes"
7359,"Erik & Ivar"
7359,"Kofi Kingston & Xavier Woods"
7357,"Akira Tozawa & Otis"
7357,"Austin Theory & Grayson Waller"
7355,"Brutus Creed, El Grande Americano & Julius Creed"
7355,"Cruz Del Toro, Dragon Lee   & Joaquin Wilde"
7353,"Brad Baylor & Ricky Smokes"
7353,"Sean Legacy & Timothy Thatcher"
7345,"Brad Baylor & Ricky Smokes"
7345,"Harlem Lewis & Keanu Carver"
7341,"Alex Shelley & Chris Sabin"
7341,"Johnny Gargano & Tommaso Ciampa"
7338,"Hank Walker & Tank Ledger"
7338,"Myles Borne & Tavion Heights"
7331,"Bron Breakker & Penta"
7331,"Dominik Mysterio & Finn Balor"
7330,"Kofi Kingston & Xavier Woods"
7330,"Pete Dunne & Tyler Bate"
7328,"Angelo Dawkins & Montez Ford"
7328,"Elton Prince & Kit Wilson"
7324,"Alba Fyre & Piper Niven"
7324,"Katana Chance & Kayden Carter"
7321,"Hank Walker & Tank Ledger"
7321,"Tyriek Igwe & Tyson Dupont"
7313,"Austin Theory & Grayson Waller"
7313,"Jey Uso & Jimmy Uso"
7311,"Angel    & Berto"
7311,"Angelo Dawkins & Montez Ford"
7309,"Damian Priest & Jimmy Uso"
7309,"Drew McIntyre & Shinsuke Nakamura"
7305,"Adriana Rizzo, Channing Lorenzo & Luca Crusifino"
7305,"Brooks Jensen, Izzi Dame & Niko Vance"
7304,"Hank Walker & Tank Ledger"
7304,"Josh Briggs & Yoshiki Inamura"
7301,"Akira Tozawa & Otis"
7301,"Erik & Ivar"
7299,"Brutus Creed & Julius Creed"
7299,"Dragon Lee   & Rey Mysterio"
7298,"Braun Strowman, Jimmy Uso & LA Knight"
7298,"Jacob Fatu, Solo Sikoa & Tama Tonga"
7293,"Angelo Dawkins & Montez Ford"
7293,"Johnny Gargano & Tommaso Ciampa"
7288,"Axiom & Nathan Frazer"
7288,"Jeff Hardy & Matt Hardy"
7283,"Dragon Lee   & Rey Mysterio"
7283,"Kofi Kingston & Xavier Woods"
7280,"Anthony Luke, Jasper Troy, Leigh Laurel & Penina Tuilaepa"
7280,"Cutler James, Drake Morreaux, Tatyanna Dumas & Zena Sterling"
7279,"Bayley Humphrey, Elijah Holyfield, Shiloh Hill & Tyra Mae Steele"
7279,"Chris Island, Dani Sekelsky, Sirena Linton & Troy Yearwood"
7277,"Alex Shelley & Chris Sabin"
7277,"Angel    & Berto, Elton Prince & Kit Wilson"
7267,"Chelsea Green & Piper Niven"
7267,"Sol Ruca & Zaria"
7261,"Brutus Creed & Julius Creed"
7261,"Erik & Ivar"
7259,"Candice LeRae & Nia Jax"
7259,"Tiffany Stratton & Trish Stratus"
7253,"Bayley, Bianca Belair & Naomi"
7253,"Liv Morgan, Raquel Rodriguez & Roxanne Perez"
7251,"Jeff Hardy & Matt Hardy"
7251,"Myles Borne & Tavion Heights"
7250,"Ethan Page & Wes Lee"
7250,"Je'Von Evans & Ricky Saints"
7246,"Bianca Belair & Naomi"
7246,"Liv Morgan & Raquel Rodriguez"
7243,"Cruz Del Toro & Joaquin Wilde"
7243,"Kofi Kingston & Xavier Woods"
7239,"Cappuccino Jones, Jack Cartwheel & Jordan Oasis"
7239,"Joe Coffey, Mark Coffey & Wolfgang"
7237,"Brad Baylor, Bryce Donovan, Jackson Drake & Ricky Smokes"
7237,"Cappuccino Jones, Drako Knox, Ice Williams & Jack Cartwheel"
7228,"Braun Strowman & Damian Priest"
7228,"Jacob Fatu & Solo Sikoa"
7227,"Elton Prince & Kit Wilson"
7227,"Johnny Gargano & Tommaso Ciampa"
7226,"Carmelo Hayes & The Miz"
7226,"LA Knight & R-Truth"
7224,"Jakara Jackson & Lash Legend"
7224,"Sol Ruca & Zaria"
7222,"Fallon Henley, Jacy Jayne & Jazmyn Nyx"
7222,"Giulia, Jordynne Grace & Stephanie Vaquer"
7213,"Axiom & Nathan Frazer"
7213,"Josh Briggs & Yoshiki Inamura"
7205,"Alex Shelley & Chris Sabin"
7205,"Angel    & Berto"
7200,"Hank Walker & Tank Ledger"
7200,"Josh Briggs & Yoshiki Inamura, Myles Borne & Tavion Heights"
7197,"Brutus Creed & Julius Creed"
7197,"Erik & Ivar"
7194,"Dakota Kai & IYO SKY"
7194,"Liv Morgan & Raquel Rodriguez"
7192,"Joe Coffey & Mark Coffey"
7192,"Jordan Oasis & Sam Holloway"
7189,"Brad Baylor, Jackson Drake & Ricky Smokes"
7189,"Cappuccino Jones, Jack Cartwheel & Sean Legacy"
7188,"Carlee Bright & Kendal Grey"
7188,"Dani Palmer & Kali Armstrong"
7187,"Elton Prince & Kit Wilson"
7187,"Johnny Gargano & Tommaso Ciampa"
7186,"Cody Rhodes & Jey Uso"
7186,"Jacob Fatu & Tama Tonga"
7180,"Austin Theory & Grayson Waller"
7180,"Oba Femi & Trick Williams"
7179,"Dani Sekelsky & Sirena Linton"
7179,"Leigh Laurel & Penina Tuilaepa"
7178,"Anthony Luke & Jasper Troy"
7178,"Elijah Holyfield & Shiloh Hill"
7177,"Bayley Humphrey & Tyra Mae Steele"
7177,"Tatyanna Dumas & Zena Sterling"
7174,"Akira Tozawa & Otis"
7174,"Brutus Creed & Julius Creed"
7172,"Dragon Lee   & Rey Mysterio"
7172,"Kofi Kingston & Xavier Woods"
7169,"Alex Shelley & Chris Sabin"
7169,"Johnny Gargano & Tommaso Ciampa"
7164,"Alex Shelley, Angel   , Berto  & Chris Sabin"
7164,"Elton Prince, Johnny Gargano, Kit Wilson & Tommaso Ciampa"
7161,"Damian Priest & LA Knight"
7161,"Jacob Fatu & Tama Tonga"
7160,"Bianca Belair & Naomi"
7160,"Jakara Jackson & Lash Legend"
7156,"Bayley & Giulia"
7156,"Cora Jade & Roxanne Perez"
7155,"Dominik Mysterio & JD McDonagh"
7155,"Erik & Ivar"
7153,"Bianca Belair & Naomi"
7153,"Liv Morgan & Raquel Rodriguez"
7143,"Bianca Belair, Naomi & Rhea Ripley"
7143,"Candice LeRae, Liv Morgan & Nia Jax"
7142,"Alex Shelley & Chris Sabin"
7142,"Elton Prince & Kit Wilson"
7134,"Dakota Kai & IYO SKY"
7134,"Shayna Baszler & Zoey Stark"
7129,"Alex Shelley & Chris Sabin"
7129,"Angel    & Berto"
7128,"Bianca Belair & Naomi"
7128,"Candice LeRae & Nia Jax"
7125,"Alba Fyre & Isla Dawn"
7125,"Jakara Jackson & Lash Legend"
7123,"Axiom & Nathan Frazer"
7123,"Bronco Nima & Lucien Price"
7119,"Katana Chance & Kayden Carter"
7119,"Shayna Baszler & Zoey Stark"
7116,"Cody Rhodes & Jimmy Uso"
7116,"Jacob Fatu & Tama Tonga"
7114,"Alex Shelley & Chris Sabin"
7114,"Austin Theory & Grayson Waller"
