"Date","Promotion","Event","EventName","EventType","Location","CityTown","StateProvince","Country"
2021-06-21,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1465","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-06-21,"WWE","WWE Main Event","WWE Main Event #456","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-06-20,"WWE","WWE Hell In A Cell","WWE Hell In A Cell 2021 Kickoff","PLE/PPV","Tampa, Florida, USA","Tampa","Florida","USA"
2021-06-20,"WWE","WWE Hell In A Cell","WWE Hell In A Cell 2021","PLE/PPV","Tampa, Florida, USA","Tampa","Florida","USA"
2021-06-18,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1139","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-06-17,"WWE","WWE NXT UK","WWE NXT UK #149","Televised","London, England, UK","London","England","UK"
2021-06-15,"WWE","WWE NXT","WWE NXT #581","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-06-15,"WWE","WWE 205 Live","WWE 205 Live #236","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-06-14,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1464","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-06-14,"WWE","WWE Main Event","WWE Main Event #455","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-06-13,"WWE","WWE NXT TakeOver: In Your House","WWE NXT TakeOver: In Your House 2021","PLE/PPV","Orlando, Florida, USA","Orlando","Florida","USA"
2021-06-11,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1138","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-06-10,"WWE","WWE NXT UK","WWE NXT UK #148","Televised","London, England, UK","London","England","UK"
2021-06-08,"WWE","WWE NXT","WWE NXT #580","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-06-08,"WWE","WWE 205 Live","WWE 205 Live #235","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-06-07,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1463","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-06-07,"WWE","WWE Main Event","WWE Main Event #454","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-06-04,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1137","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-06-03,"WWE","WWE NXT UK","WWE NXT UK #147","Televised","London, England, UK","London","England","UK"
2021-06-01,"WWE","WWE NXT","WWE NXT #579","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-06-01,"WWE","WWE 205 Live","WWE 205 Live #234","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-05-31,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1462","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-05-31,"WWE","WWE Main Event","WWE Main Event #453","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-05-28,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1136","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-05-27,"WWE","WWE NXT UK","WWE NXT UK #146","Televised","London, England, UK","London","England","UK"
