"Index","Date","Promotion","Match","CageMatchRating","CageMatchRatingVotes","WONStarRating","Opponent.1","Opponent.2"
6535,2024-05-25,"WWE","Bronson Reed vs. Chad Gable vs. Sami Zayn",7.83,545,3.75,"Bronson Reed","Chad Gable, Sami Zayn,"
6534,2024-05-24,"WWE","Angelo Dawkins, LA Knight & Montez Ford vs. Austin Theory, Carmelo Hayes & Grayson Waller",5.77,83,NA,"Angelo Dawkins, LA Knight & Montez Ford","Austin Theory, Carmelo Hayes & Grayson Waller"
6533,2024-05-24,"WWE","Randy Orton vs. Tama Tonga",5.58,97,NA,"Randy Orton","Tama Tonga"
6532,2024-05-24,"WWE","Bianca Belair vs. Nia Jax",6.35,103,NA,"Bianca Belair","Nia Jax"
6531,2024-05-20,"WWE","Dakota Kai & Kairi Sane vs. Ivy Nile & Maxxine Dupri vs. Katana Chance & Kayden Carter vs. Shayna Baszler & Zoey Stark",5.3,125,NA,"Dakota Kai & Kairi Sane","Ivy Nile & Maxxine Dupri, Katana Chance & Kayden Carter, Shayna Baszler & Zoey Stark,"
6530,2024-05-20,"WWE","Kiana James vs. Natalya",NA,NA,NA,"Kiana James","Natalya"
6529,2024-05-20,"WWE","Akam & Rezar vs. Brutus Creed & Julius Creed",NA,NA,NA,"Akam & Rezar","Brutus Creed & Julius Creed"
6528,2024-05-20,"WWE","IYO SKY vs. Lyra Valkyria",8.1,272,NA,"IYO SKY","Lyra Valkyria"
6527,2024-05-20,"WWE","Chad Gable vs. Sami Zayn",6.96,157,NA,"Chad Gable","Sami Zayn"
6526,2024-05-20,"WWE","Finn Balor & JD McDonagh vs. R-Truth & The Miz",5.61,120,NA,"Finn Balor & JD McDonagh","R-Truth & The Miz"
6525,2024-05-20,"WWE","Gunther vs. Jey Uso",7.17,205,NA,"Gunther","Jey Uso"
6524,2024-05-17,"WWE","Bianca Belair vs. Tiffany Stratton",7.27,165,NA,"Bianca Belair","Tiffany Stratton"
6523,2024-05-17,"WWE","LA Knight vs. Tama Tonga",5.06,111,NA,"LA Knight","Tama Tonga"
6522,2024-05-17,"WWE","Carmelo Hayes vs. Randy Orton",6.54,126,3.75,"Carmelo Hayes","Randy Orton"
6521,2024-05-17,"WWE","Angel    & Berto  vs. Johnny Gargano & Tommaso Ciampa",5.61,102,NA,"Angel    & Berto","Johnny Gargano & Tommaso Ciampa"
6520,2024-05-14,"WWE","Je'Von Evans vs. Oro Mensah",7.36,86,NA,"Je'Von Evans","Oro Mensah"
6519,2024-05-14,"WWE","Charlie Dempsey vs. Tony D'Angelo",7.01,77,NA,"Charlie Dempsey","Tony D'Angelo"
6518,2024-05-14,"WWE","Izzi Dame vs. Sol Ruca",5.68,62,NA,"Izzi Dame","Sol Ruca"
